BodyPart,SystemID
Gingiva of upper jaw,skeletal
Gingiva of lower jaw,skeletal
Left lower first secondary molar tooth,skeletal
Left lower first secondary premolar tooth,skeletal
Left lower second secondary molar tooth,skeletal
Left lower second secondary premolar tooth,skeletal
Left lower central secondary incisor tooth,skeletal
Left lower lateral secondary incisor tooth,skeletal
Left lower secondary canine tooth,skeletal
Left upper first secondary molar tooth,skeletal
Left upper first secondary premolar tooth,skeletal
Left upper second secondary molar tooth,skeletal
Left upper second secondary premolar tooth,skeletal
Left upper central secondary incisor tooth,skeletal
Left upper lateral secondary incisor tooth,skeletal
Left upper secondary canine tooth,skeletal
Right lower first secondary molar tooth,skeletal
Right lower first secondary premolar tooth,skeletal
Right lower second secondary molar tooth,skeletal
Right lower second secondary premolar tooth,skeletal
Right lower central secondary incisor tooth,skeletal
Right lower lateral secondary incisor tooth,skeletal
Right lower secondary canine tooth,skeletal
Right upper second secondary molar tooth,skeletal
Right upper first secondary molar tooth,skeletal
Right upper first secondary premolar tooth,skeletal
Right upper second secondary premolar tooth,skeletal
Right upper central secondary incisor tooth,skeletal
Right upper lateral secondary incisor tooth,skeletal
Right upper secondary canine tooth,skeletal
Anterior chamber of left eyeball,sensory
Left anterior ethmoidal nerve,nervous
Check ligament of left lateral rectus,connective
Left choroid,sensory
Left choroid,sensory
Left corona ciliaris,sensory
Left ciliary ganglion,nervous
Left cornea,sensory
Left frontal nerve,nervous
Left common tendinous ring,sensory
Check ligament of left medial rectus,connective
Inferior branch of left oculomotor nerve,nervous
Left inferior oblique,muscular
Left inferior rectus,muscular
Left infratrochlear nerve,nervous
Left iris,sensory
Left lacrimal canaliculus,sensory
Left lacrimal gland,sensory
Left lacrimal nerve,nervous
Left lacrimal lake,sensory
Left nasolacrimal duct,sensory
Left lateral rectus,muscular
Left lens,sensory
Left levator palpebrae superioris,muscular
Left medial rectus,muscular
Left lacrimal sac,sensory
Left nasociliary nerve,nervous
Communicating branch of left nasociliary nerve with left ciliary ganglion,nervous
Left ophthalmic nerve,nervous
Left optic nerve,nervous
Left posterior ethmoidal nerve,nervous
Optic part of left retina,sensory
Left sclera,sensory
Left long ciliary nerve,nervous
Short ciliary nerve,nervous
Suspensory ligament of left lens,sensory
Superior branch of left oculomotor nerve,nervous
Left superior oblique,muscular
Left superior rectus,muscular
Tarsal plate of left upper eyelid,sensory
Left supra-orbital nerve,nervous
Left supratrochlear nerve,nervous
Tarsal plate of left lower eyelid,sensory
Trochlea of left superior oblique,connective
Left trochlear nerve,nervous
Left vitreous body,sensory
Anterior chamber of right eyeball,sensory
Right anterior ethmoidal nerve,nervous
Check ligament of right lateral rectus,connective
Check ligament of right medial rectus,connective
Right choroid,sensory
Right choroid,sensory
Right corona ciliaris,sensory
Right ciliary ganglion,nervous
Right cornea,sensory
Right frontal nerve,nervous
Right common tendinous ring,sensory
Tendon of right levator palpebrae superioris,connective
Inferior branch of right oculomotor nerve,nervous
Right inferior oblique,muscular
Right inferior rectus,muscular
Right infratrochlear nerve,nervous
Right iris,sensory
Right lacrimal canaliculus,sensory
Right lacrimal gland,sensory
Right lacrimal nerve,nervous
Right lacrimal lake,sensory
Right nasolacrimal duct,sensory
Right lateral rectus,muscular
Right lens,sensory
Right levator palpebrae superioris,muscular
Right medial rectus,muscular
Right lacrimal sac,sensory
Right nasociliary nerve,nervous
Communicating branch of right nasociliary nerve with right ciliary ganglion,nervous
Right ophthalmic nerve,nervous
Right optic nerve,nervous
Right posterior ethmoidal nerve,nervous
Optic part of right retina,sensory
Right sclera,sensory
Right long ciliary nerve,nervous
Short ciliary nerve,nervous
Suspensory ligament of right lens,sensory
Superior branch of right oculomotor nerve,nervous
Right superior oblique,muscular
Right superior rectus,muscular
Tarsal plate of right upper eyelid,sensory
Right supra-orbital nerve,nervous
Right supratrochlear nerve,nervous
Tarsal plate of right lower eyelid,sensory
Trochlea of right superior oblique,connective
Right trochlear nerve,nervous
Right vitreous body,sensory
First lumbrical of right foot,muscular
First lumbrical of left foot,muscular
First plantar interosseous of right foot,muscular
First plantar interosseous of left foot,muscular
Second lumbrical of right foot,muscular
Second lumbrical of left foot,muscular
Second plantar interosseous of right foot,muscular
Second plantar interosseous of left foot,muscular
Third lumbrical of right foot,muscular
Third lumbrical of left foot,muscular
Third plantar interosseous of right foot,muscular
Third plantar interosseous of left foot,muscular
Fourth lumbrical of right foot,muscular
Fourth lumbrical of left foot,muscular
Abductor digiti minimi of right foot,muscular
Abductor digiti minimi of left foot,muscular
Flexor digiti minimi brevis of right foot,muscular
Flexor digiti minimi brevis of left foot,muscular
Interosseous membrane of right leg,connective
Interosseous membrane of left leg,connective
Lateral head of right flexor hallucis brevis,muscular
Lateral head of left flexor hallucis brevis,muscular
Lateral head of right gastrocnemius,muscular
Lateral head of left gastrocnemius,muscular
Long head of right biceps femoris,muscular
Long head of left biceps femoris,muscular
Medial head of right flexor hallucis brevis,muscular
Medial head of left flexor hallucis brevis,muscular
Medial head of right gastrocnemius,muscular
